Year,Match Number,Date,Stadium,City,Match,Match Details,Batting team,Total Score,Total Wicket,Batsman Names,Out/Not Out,Total Runs,Balls Played,Fours,Sixes,Strike Rate
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Jason Roy,c du Plessis b Phehlukwayo,54,53,8,0,101.89
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Jonny Bairstow,c de Kock b Tahir,0,1,0,0,0
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Jonny Bairstow,c Duminy b Rabada,51,59,5,0,86.44
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Eoin Morgan,c Markram b Tahir,57,60,4,3,95
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Ben Stokes,c Amla b Lungi Ngidi,89,79,9,0,112.66
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Jos Buttler,b Lungi Ngidi,18,16,0,0,112.5
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Moeen Ali,c du Plessis b Lungi Ngidi,3,9,0,0,33.33
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Chris Woakes,c du Plessis b Rabada,13,14,1,0,92.86
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Liam Plunkett,not out,9,6,1,0,150
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,311,8,Jofra Archer,not out,7,3,1,0,233.33
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Quinton de Kock,c Root b Plunkett,68,74,6,2,91.89
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Hashim Amla,c Jos Buttler b Plunkett,13,23,1,0,56.52
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Aiden Markram,c Root b Jofra Archer,11,12,2,0,91.67
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Faf du Plessis,c Moeen b Jofra Archer,5,7,1,0,71.43
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Rassie van der Dussen,c Moeen b Jofra Archer,50,61,4,1,81.97
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Jean-Paul Duminy,c Stokes b Moeen,8,11,1,0,72.73
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Dwaine Pretorius,run out (Stokes/Morgan),1,1,0,0,100
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Andile Phehlukwayo,c Stokes b Adil Rashid,24,25,4,0,96
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Kagiso Rabada,c Plunkett b Stokes,11,19,2,0,57.89
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Lungi Ngidi,not out,6,5,0,1,120
2019,1st match,May 30 2019,Kennington Oval,"London, England",England vs Sri Lanka,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",Sri Lanka,207,10,Imran Tahir,c Root b Stokes,0,1,0,0,0
2019,2nd match,May 31 2019,Trent Bridge,"Nottingham, England",Pakistan vs Wist Indiaies,"2nd match, Nottingham, May 31, 2019,
ICC Cricket World Cup",Pakistan,105,10,Imam-ul-Haq,c Shai Hope b Cottrell,2,11,0,0,18.18
2019,2nd match,May 31 2019,Trent Bridge,"Nottingham, England",Pakistan vs Wist Indiaies,"2nd match, Nottingham, May 31, 2019,
ICC Cricket World Cup",Pakistan,105,10,Fakhar Zaman,b A Russell,22,16,2,1,137.5
2019,2nd match,May 31 2019,Trent Bridge,"Nottingham, England",Pakistan vs Wist Indiaies,"2nd match, Nottingham, May 31, 2019,
ICC Cricket World Cup",Pakistan,105,10,Babar Azam,c Shai Hope b Oshane Thomas,22,33,2,0,66.67
2019,2nd match,May 31 2019,Trent Bridge,"Nottingham, England",Pakistan vs Wist Indiaies,"2nd match, Nottingham, May 31, 2019,
ICC Cricket World Cup",Pakistan,105,10,Haris Sohail,c Shai Hope b A Russell,8,11,1,0,72.73
2019,2nd match,May 31 2019,Trent Bridge,"Nottingham, England",Pakistan vs Wist Indiaies,"2nd match, Nottingham, May 31, 2019,
ICC Cricket World Cup",Pakistan,105,10,Sarfaraz Ahmed,c Shai Hope b Holder,8,12,1,0,66.67
