Year,Match Number,Date,Stadium,City,Match,Match Details,Batting team,Total Score,Total Wicket,Batsman Names,Out/Not Out,Total Runs,Balls Played,Fours,Sixes,Strike Rate
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Martin Guptill,c Sangakkara b Lakmal,49,62,5,0,79.03
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Brendon McCullum,c J Mendis b Herath,65,49,10,1,132.65
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Kane Williamson,c D Karunaratne b J Mendis,57,65,5,1,87.69
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Ross Taylor,st Sangakkara b J Mendis,14,28,0,0,50
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Grant Elliott,c Thirimanne b Lakmal,29,34,2,0,85.29
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Corey Anderson,c Lakmal b N Kulasekara,75,46,8,2,163.04
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,331,6,Luke Ronchi,not out,29,19,4,0,152.63
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Lahiru Thirimanne,b T Boult,65,60,8,0,108.33
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Tillakaratne Dilshan,c & b Vettori,24,41,2,0,58.54
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Kumar Sangakkara,lbw b T Boult,39,38,5,0,102.63
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Mahela Jayawardene,c Ronchi b Vettori,0,4,0,0,0
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Dimuth Karunaratne,b Milne,14,21,0,0,66.67
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Angelo Mathews,c Vettori b Southee,46,52,5,0,88.46
2015,1st Match,"February,14,2015",Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,233,10,Jeevan Mendis,c Ronchi b Milne,4,4,1,0,100
